InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,DayOfWeek,PriceDiff,PriceDiffNote,InvoiceMonth
562371,23202,JUMBO BAG VINTAGE LEAF,10,2011-08-04 14:30:00,2.08,13709,United Kingdom,20.8,Thursday,0.0,,2011-08-01
568492,22727,ALARM CLOCK BAKELIKE RED ,4,2011-09-27 11:58:00,3.75,18278,United Kingdom,15.0,Tuesday,0.0,,2011-09-01
549245,20728,LUNCH BAG CARS BLUE,2,2011-04-07 11:59:00,1.65,15005,United Kingdom,3.3,Thursday,0.0,,2011-04-01
577010,23159,SET OF 5 PANCAKE DAY MAGNETS,1,2011-11-17 12:11:00,2.08,15506,United Kingdom,2.08,Thursday,0.0,,2011-11-01
577772,21210,SET OF 72 RETROSPOT PAPER  DOILIES,24,2011-11-21 15:53:00,1.45,18139,United Kingdom,34.8,Monday,0.0,,2011-11-01
579472,23326,HANGING MINI COLOURED BOTTLES,4,2011-11-29 15:09:00,0.63,13521,United Kingdom,2.52,Tuesday,,First entry,2011-11-01
568564,21926,RED/CREAM STRIPE CUSHION COVER ,4,2011-09-27 17:03:00,1.25,17576,United Kingdom,5.0,Tuesday,0.0,,2011-09-01
570103,23196,RETRO LEAVES MAGNETIC NOTEPAD,2,2011-10-07 12:18:00,1.45,15719,United Kingdom,2.9,Friday,0.0,,2011-10-01
557935,21755,LOVE BUILDING BLOCK WORD,6,2011-06-23 15:26:00,5.95,13929,United Kingdom,35.7,Thursday,0.0,,2011-06-01
574726,22620,4 TRADITIONAL SPINNING TOPS,1,2011-11-06 14:56:00,1.45,14664,United Kingdom,1.45,Sunday,0.0,,2011-11-01
542407,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-01-27 16:17:00,1.25,15601,United Kingdom,15.0,Thursday,,First entry,2011-01-01
552852,22979,PANTRY WASHING UP BRUSH,6,2011-05-11 15:08:00,1.45,16712,United Kingdom,8.7,Wednesday,0.0,,2011-05-01
539728,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,2010-12-21 14:26:00,4.95,16270,United Kingdom,14.850000000000001,Tuesday,,First entry,2010-12-01
559202,21078,SET/20 STRAWBERRY PAPER NAPKINS ,12,2011-07-07 10:40:00,0.85,13583,United Kingdom,10.2,Thursday,0.0,,2011-07-01
555739,23256,CHILDRENS CUTLERY SPACEBOY ,4,2011-06-07 09:49:00,4.15,12380,Belgium,16.6,Tuesday,,First entry,2011-06-01
566234,21166,COOK WITH WINE METAL SIGN ,2,2011-09-11 11:08:00,2.08,15035,United Kingdom,4.16,Sunday,0.0,,2011-09-01
537236,21531,RED RETROSPOT SUGAR JAM BOWL,24,2010-12-06 09:52:00,2.1,16858,United Kingdom,50.400000000000006,Monday,,First entry,2010-12-01
543293,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2011-02-07 11:20:00,0.85,17613,United Kingdom,10.2,Monday,,First entry,2011-02-01
547822,22982,PANTRY PASTRY BRUSH,12,2011-03-25 14:53:00,1.25,12668,Germany,15.0,Friday,,First entry,2011-03-01
580774,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-12-06 11:05:00,2.95,13994,United Kingdom,17.700000000000003,Tuesday,-2.84,,2011-12-01
541489,85064,CREAM SWEETHEART LETTER RACK,2,2011-01-18 13:38:00,5.45,15023,United Kingdom,10.9,Tuesday,,First entry,2011-01-01
581412,23255,CHILDRENS CUTLERY CIRCUS PARADE,3,2011-12-08 14:38:00,4.15,14415,United Kingdom,12.450000000000001,Thursday,0.0,,2011-12-01
574719,21136,PAINTED METAL PEARS ASSORTED,16,2011-11-06 14:38:00,1.69,14511,United Kingdom,27.04,Sunday,0.0,,2011-11-01
565838,47566,PARTY BUNTING,4,2011-09-07 11:43:00,4.95,15071,United Kingdom,19.8,Wednesday,0.0,,2011-09-01
547716,22084,PAPER CHAIN KIT EMPIRE,15,2011-03-25 08:52:00,2.95,16833,United Kingdom,44.25,Friday,0.0,,2011-03-01
549679,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-04-11 12:59:00,1.25,16407,United Kingdom,15.0,Monday,0.0,,2011-04-01
562393,23154,SET OF 4 JAM JAR MAGNETS,24,2011-08-04 16:17:00,2.08,18172,United Kingdom,49.92,Thursday,,First entry,2011-08-01
547240,21983,PACK OF 12 BLUE PAISLEY TISSUES ,2,2011-03-21 16:32:00,0.29,17585,United Kingdom,0.58,Monday,,First entry,2011-03-01
566913,21698,MOCK LOBSTER FRIDGE MAGNET,4,2011-09-15 14:07:00,0.39,17602,United Kingdom,1.56,Thursday,,First entry,2011-09-01
551291,22064,PINK DOUGHNUT TRINKET POT ,12,2011-04-27 14:26:00,1.45,14298,United Kingdom,17.4,Wednesday,-0.19999999999999996,,2011-04-01
562592,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,12,2011-08-07 15:43:00,1.65,13418,United Kingdom,19.799999999999997,Sunday,0.0,,2011-08-01
572050,23069,EDWARDIAN PHOTO FRAME,2,2011-10-20 12:23:00,6.25,17346,United Kingdom,12.5,Thursday,,First entry,2011-10-01
567675,20755,BLUE PAISLEY POCKET BOOK,1,2011-09-21 15:54:00,0.85,15351,United Kingdom,0.85,Wednesday,,First entry,2011-09-01
551734,22587,FELTCRAFT HAIRBAND RED AND BLUE,12,2011-05-04 10:15:00,0.85,18178,United Kingdom,10.2,Wednesday,,First entry,2011-05-01
562539,22900, SET 2 TEA TOWELS I LOVE LONDON ,4,2011-08-05 15:30:00,3.25,17220,United Kingdom,13.0,Friday,0.0,,2011-08-01
548388,21721,CANDY SHOP  STICKER SHEET,2,2011-03-30 16:52:00,0.85,13268,United Kingdom,1.7,Wednesday,,First entry,2011-03-01
572741,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2011-10-25 15:47:00,2.95,14341,United Kingdom,17.700000000000003,Tuesday,0.0,,2011-10-01
564300,23203,JUMBO BAG DOILEY PATTERNS,5,2011-08-24 11:31:00,2.08,16723,United Kingdom,10.4,Wednesday,0.0,,2011-08-01
567618,21915,RED  HARMONICA IN BOX ,12,2011-09-21 12:26:00,1.25,12721,France,15.0,Wednesday,0.0,,2011-09-01
571049,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,2011-10-13 13:43:00,3.95,16670,United Kingdom,15.8,Thursday,0.0,,2011-10-01
544893,22637,PIGGY BANK RETROSPOT ,4,2011-02-24 12:01:00,2.55,17865,United Kingdom,10.2,Thursday,,First entry,2011-02-01
572682,22801,ANTIQUE GLASS PEDESTAL BOWL,1,2011-10-25 13:52:00,3.75,17928,United Kingdom,3.75,Tuesday,0.0,,2011-10-01
578936,23076,ICE CREAM SUNDAE LIP GLOSS,2,2011-11-27 13:00:00,1.25,16923,United Kingdom,2.5,Sunday,0.0,,2011-11-01
566581,23265,SET OF 3 WOODEN TREE DECORATIONS,6,2011-09-13 13:47:00,1.25,16081,United Kingdom,7.5,Tuesday,0.0,,2011-09-01
546732,22331,WOODLAND PARTY BAG + STICKER SET,1,2011-03-16 11:41:00,1.65,14606,United Kingdom,1.65,Wednesday,,First entry,2011-03-01
537619,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2010-12-07 13:53:00,0.95,13786,United Kingdom,11.399999999999999,Tuesday,,First entry,2010-12-01
560547,47566,PARTY BUNTING,16,2011-07-19 12:39:00,4.95,17419,United Kingdom,79.2,Tuesday,0.0,,2011-07-01
542836,22197,SMALL POPCORN HOLDER,6,2011-02-01 11:31:00,0.85,16745,United Kingdom,5.1,Tuesday,0.0,,2011-02-01
541948,22079,RIBBON REEL HEARTS DESIGN ,5,2011-01-24 12:00:00,1.65,15820,United Kingdom,8.25,Monday,,First entry,2011-01-01
568046,23263,SET OF 3 WOODEN HEART DECORATIONS,1,2011-09-23 12:16:00,1.25,18118,United Kingdom,1.25,Friday,0.0,,2011-09-01
553186,82551,LAUNDRY 15C METAL SIGN,12,2011-05-15 12:46:00,1.45,13183,United Kingdom,17.4,Sunday,0.0,,2011-05-01
573345,47504K,ENGLISH ROSE GARDEN SECATEURS,3,2011-10-30 12:14:00,0.79,17609,United Kingdom,2.37,Sunday,0.0,,2011-10-01
578835,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-11-25 15:44:00,3.75,12682,France,15.0,Friday,0.0,,2011-11-01
554009,22963,JAM JAR WITH GREEN LID,12,2011-05-20 12:38:00,0.85,12935,United Kingdom,10.2,Friday,,First entry,2011-05-01
565431,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2011-09-04 13:15:00,2.95,14965,United Kingdom,2.95,Sunday,0.0,,2011-09-01
567460,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-09-20 12:30:00,1.69,15888,United Kingdom,13.52,Tuesday,0.0,,2011-09-01
547070,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2011-03-20 13:58:00,0.85,16115,United Kingdom,10.2,Sunday,0.0,,2011-03-01
545066,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,4,2011-02-27 14:44:00,1.25,13610,United Kingdom,5.0,Sunday,0.0,,2011-02-01
545662,23194,GYMKHANNA TREASURE BOOK BOX,8,2011-03-04 14:42:00,2.25,15358,United Kingdom,18.0,Friday,,First entry,2011-03-01
565431,21174,POTTERING IN THE SHED METAL SIGN,1,2011-09-04 13:15:00,2.08,14965,United Kingdom,2.08,Sunday,0.0,,2011-09-01
573173,23320,GIANT 50'S CHRISTMAS CRACKER,12,2011-10-28 10:10:00,2.89,12362,Belgium,34.68,Friday,0.0,,2011-10-01
549116,21870,I CAN ONLY PLEASE ONE PERSON MUG,12,2011-04-06 12:49:00,1.25,16670,United Kingdom,15.0,Wednesday,0.0,,2011-04-01
574678,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,2011-11-06 12:36:00,2.1,13365,United Kingdom,12.600000000000001,Sunday,0.0,,2011-11-01
573340,20724,RED RETROSPOT CHARLOTTE BAG,4,2011-10-30 11:55:00,0.85,14159,United Kingdom,3.4,Sunday,0.0,,2011-10-01
539439,22988,SOLDIERS EGG CUP ,12,2010-12-17 15:14:00,1.25,13869,United Kingdom,15.0,Friday,,First entry,2010-12-01
548860,22921,HERB MARKER CHIVES ,1,2011-04-04 13:38:00,0.65,13263,United Kingdom,0.65,Monday,,First entry,2011-04-01
575982,23323,WHITE WICKER STAR ,1,2011-11-13 13:42:00,2.1,13798,United Kingdom,2.1,Sunday,0.0,,2011-11-01
537400,22956,36 FOIL HEART CAKE CASES,1,2010-12-06 14:36:00,2.1,17191,United Kingdom,2.1,Monday,,First entry,2010-12-01
563745,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,2011-08-19 09:38:00,6.75,15159,United Kingdom,67.5,Friday,,First entry,2011-08-01
570288,23319,BOX OF 6 MINI 50'S CRACKERS,2,2011-10-10 11:47:00,2.49,16960,United Kingdom,4.98,Monday,0.0,,2011-10-01
572558,22493,PAINT YOUR OWN CANVAS SET,12,2011-10-25 08:26:00,1.65,14286,United Kingdom,19.799999999999997,Tuesday,0.0,,2011-10-01
546438,22692,DOORMAT WELCOME TO OUR HOME,10,2011-03-14 09:59:00,6.75,15125,United Kingdom,67.5,Monday,,First entry,2011-03-01
539042,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2010-12-15 15:37:00,1.25,15062,United Kingdom,15.0,Wednesday,,First entry,2010-12-01
552703,23068,ALUMINIUM STAMPED HEART,4,2011-05-10 16:00:00,2.49,14462,United Kingdom,9.96,Tuesday,,First entry,2011-05-01
562276,22386,JUMBO BAG PINK POLKADOT,10,2011-08-04 10:23:00,2.08,17735,United Kingdom,20.8,Thursday,0.0,,2011-08-01
556776,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,4,2011-06-14 12:24:00,0.83,14730,United Kingdom,3.32,Tuesday,0.0,,2011-06-01
543281,20615,BLUE POLKADOT PASSPORT COVER,1,2011-02-06 15:34:00,2.1,14606,United Kingdom,2.1,Sunday,,First entry,2011-02-01
554597,84978,HANGING HEART JAR T-LIGHT HOLDER,24,2011-05-25 11:01:00,1.25,15140,United Kingdom,30.0,Wednesday,0.0,,2011-05-01
553206,23206,LUNCH BAG APPLE DESIGN,10,2011-05-16 08:16:00,1.65,14156,EIRE,16.5,Monday,0.0,,2011-05-01
557764,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-06-22 14:21:00,4.95,13089,United Kingdom,29.700000000000003,Wednesday,0.0,,2011-06-01
566781,22816,CARD MOTORBIKE SANTA,24,2011-09-15 10:11:00,0.42,17333,United Kingdom,10.08,Thursday,0.0,,2011-09-01
565778,22867,HAND WARMER BIRD DESIGN,12,2011-09-06 15:04:00,2.1,17460,United Kingdom,25.200000000000003,Tuesday,,First entry,2011-09-01
569491,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1,2011-10-04 13:25:00,2.95,14056,United Kingdom,2.95,Tuesday,0.0,,2011-10-01
541110,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,12,2011-01-13 15:11:00,0.65,15916,United Kingdom,7.800000000000001,Thursday,,First entry,2011-01-01
559552,22899,CHILDREN'S APRON DOLLY GIRL ,1,2011-07-10 16:29:00,2.1,16014,United Kingdom,2.1,Sunday,0.0,,2011-07-01
557350,22807,SET OF 6 T-LIGHTS TOADSTOOLS,6,2011-06-20 10:41:00,2.95,16670,United Kingdom,17.700000000000003,Monday,,First entry,2011-06-01
555835,23170,REGENCY TEA PLATE ROSES ,12,2011-06-07 12:34:00,1.65,14525,United Kingdom,19.799999999999997,Tuesday,0.0,,2011-06-01
561106,22746,POPPY'S PLAYHOUSE LIVINGROOM ,6,2011-07-25 11:37:00,2.1,14246,United Kingdom,12.600000000000001,Monday,0.0,,2011-07-01
574619,23344,JUMBO BAG 50'S CHRISTMAS ,3,2011-11-06 11:18:00,2.08,15952,United Kingdom,6.24,Sunday,0.0,,2011-11-01
537204,21802,CHRISTMAS TREE HEART DECORATION,15,2010-12-05 14:45:00,0.42,15555,United Kingdom,6.3,Sunday,,First entry,2010-12-01
575269,22116,METAL SIGN HIS DINNER IS SERVED,12,2011-11-09 12:08:00,0.79,17865,United Kingdom,9.48,Wednesday,-2.16,,2011-11-01
563574,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,2011-08-17 15:05:00,0.85,15827,United Kingdom,10.2,Wednesday,0.0,,2011-08-01
569236,22778,GLASS CLOCHE SMALL,1,2011-10-02 15:49:00,3.95,14432,United Kingdom,3.95,Sunday,0.0,,2011-10-01
553920,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2011-05-20 08:57:00,2.55,15955,United Kingdom,15.299999999999999,Friday,0.0,,2011-05-01
579167,23335,EGG FRYING PAN IVORY ,2,2011-11-28 14:06:00,2.08,16800,United Kingdom,4.16,Monday,,First entry,2011-11-01
571837,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,5,2011-10-19 12:11:00,4.95,16470,United Kingdom,24.75,Wednesday,,First entry,2011-10-01
563749,23285,PINK VINTAGE SPOT BEAKER,8,2011-08-19 10:10:00,0.85,12360,Austria,6.8,Friday,,First entry,2011-08-01
560996,21380,WOODEN HAPPY BIRTHDAY GARLAND,3,2011-07-22 13:53:00,2.95,17625,United Kingdom,8.850000000000001,Friday,,First entry,2011-07-01
541847,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,2,2011-01-23 13:25:00,4.95,15443,United Kingdom,9.9,Sunday,0.7000000000000002,,2011-01-01
559354,22710,WRAP I LOVE LONDON ,25,2011-07-07 18:02:00,0.42,16012,United Kingdom,10.5,Thursday,0.0,,2011-07-01
542147,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,12,2011-01-26 10:02:00,2.95,12782,Portugal,35.400000000000006,Wednesday,,First entry,2011-01-01
563928,23242,TREASURE TIN BUFFALO BILL ,2,2011-08-21 15:17:00,2.08,17059,United Kingdom,4.16,Sunday,0.0,,2011-08-01
545690,22151,PLACE SETTING WHITE HEART,2,2011-03-06 12:46:00,0.42,13263,United Kingdom,0.84,Sunday,,First entry,2011-03-01
568050,21239,PINK  POLKADOT CUP,4,2011-09-23 12:38:00,0.85,15901,United Kingdom,3.4,Friday,0.0,,2011-09-01
564489,21242,RED RETROSPOT PLATE ,4,2011-08-25 14:13:00,1.69,15950,United Kingdom,6.76,Thursday,0.0,,2011-08-01
558563,35637A,IVORY STRING CURTAIN WITH POLE ,2,2011-06-30 13:43:00,5.95,14561,United Kingdom,11.9,Thursday,,First entry,2011-06-01
567326,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2011-09-19 14:38:00,0.85,14290,United Kingdom,10.2,Monday,0.0,,2011-09-01
551531,22698,PINK REGENCY TEACUP AND SAUCER,8,2011-05-01 13:45:00,2.95,15376,United Kingdom,23.6,Sunday,0.0,,2011-05-01
536845,21891,TRADITIONAL WOODEN SKIPPING ROPE,1,2010-12-02 19:18:00,1.25,17961,United Kingdom,1.25,Thursday,,First entry,2010-12-01
547069,22113,GREY HEART HOT WATER BOTTLE,2,2011-03-20 13:52:00,3.75,16710,United Kingdom,7.5,Sunday,0.0,,2011-03-01
571914,22523,CHILDS GARDEN FORK PINK,12,2011-10-19 15:33:00,0.85,14776,United Kingdom,10.2,Wednesday,0.0,,2011-10-01
553507,21592,RETROSPOT CIGAR BOX MATCHES ,4,2011-05-17 13:35:00,1.25,17220,United Kingdom,5.0,Tuesday,0.0,,2011-05-01
574659,85014A,BLACK/BLUE POLKADOT UMBRELLA,1,2011-11-06 11:44:00,5.95,16942,United Kingdom,5.95,Sunday,0.0,,2011-11-01
573149,21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,3,2011-10-27 19:56:00,2.95,16438,United Kingdom,8.850000000000001,Thursday,,First entry,2011-10-01
561025,22092,BLUE PAISLEY TISSUE BOX,1,2011-07-24 10:37:00,0.39,16241,United Kingdom,0.39,Sunday,,First entry,2011-07-01
575854,21889,WOODEN BOX OF DOMINOES,12,2011-11-11 12:20:00,1.25,14125,United Kingdom,15.0,Friday,0.0,,2011-11-01
558233,22804,PINK HANGING HEART T-LIGHT HOLDER,6,2011-06-27 14:36:00,2.95,18073,United Kingdom,17.700000000000003,Monday,0.0,,2011-06-01
565249,23005,TRAVEL CARD WALLET I LOVE LONDON,24,2011-09-02 10:38:00,0.42,18027,United Kingdom,10.08,Friday,0.0,,2011-09-01
571229,22804,PINK HANGING HEART T-LIGHT HOLDER,1,2011-10-14 14:04:00,2.95,15453,United Kingdom,2.95,Friday,0.0,,2011-10-01
542401,20898,VINTAGE NOTEBOOK TRAVELOGUE,1,2011-01-27 15:51:00,2.95,14541,United Kingdom,2.95,Thursday,,First entry,2011-01-01
537141,22725,ALARM CLOCK BAKELIKE CHOCOLATE,3,2010-12-05 12:57:00,3.75,15570,United Kingdom,11.25,Sunday,,First entry,2010-12-01
541631,22630,DOLLY GIRL LUNCH BOX,12,2011-01-20 10:48:00,1.95,12637,France,23.4,Thursday,0.0,,2011-01-01
571056,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-10-13 14:10:00,2.95,15367,United Kingdom,17.700000000000003,Thursday,0.0,,2011-10-01
554916,22090,PAPER BUNTING RETROSPOT,3,2011-05-27 12:26:00,2.95,17345,United Kingdom,8.850000000000001,Friday,0.0,,2011-05-01
560048,16161P,WRAP ENGLISH ROSE ,25,2011-07-14 15:02:00,0.42,13515,United Kingdom,10.5,Thursday,,First entry,2011-07-01
579286,21034,REX CASH+CARRY JUMBO SHOPPER,2,2011-11-29 10:57:00,0.95,17772,United Kingdom,1.9,Tuesday,0.0,,2011-11-01
578045,22992,REVOLVER WOODEN RULER ,1,2011-11-22 14:43:00,1.95,17297,United Kingdom,1.95,Tuesday,0.0,,2011-11-01
559058,22644,CERAMIC CHERRY CAKE MONEY BANK,24,2011-07-06 09:49:00,1.45,12407,Belgium,34.8,Wednesday,,First entry,2011-07-01
572067,23199,JUMBO BAG APPLES,10,2011-10-20 13:13:00,2.08,16099,United Kingdom,20.8,Thursday,0.0,,2011-10-01
580879,84519B,CARROT CHARLIE+LOLA COASTER SET,1,2011-12-06 12:18:00,1.25,17346,United Kingdom,1.25,Tuesday,0.0,,2011-12-01
572331,23391, I LOVE LONDON MINI BACKPACK,4,2011-10-24 10:18:00,4.15,16491,United Kingdom,16.6,Monday,0.0,,2011-10-01
545295,22567,20 DOLLY PEGS RETROSPOT,20,2011-03-01 12:09:00,1.25,12709,Germany,25.0,Tuesday,,First entry,2011-03-01
578944,22097,SWALLOW SQUARE TISSUE BOX,2,2011-11-27 13:41:00,0.39,16005,United Kingdom,0.78,Sunday,0.0,,2011-11-01
544309,79000,MOROCCAN TEA GLASS,24,2011-02-17 14:17:00,0.85,15785,United Kingdom,20.4,Thursday,,First entry,2011-02-01
564065,23298,SPOTTY BUNTING,6,2011-08-22 15:05:00,4.95,15150,United Kingdom,29.700000000000003,Monday,0.0,,2011-08-01
580289,21166,COOK WITH WINE METAL SIGN ,12,2011-12-02 13:32:00,2.08,15856,United Kingdom,24.96,Friday,0.0,,2011-12-01
577773,23349,ROLL WRAP VINTAGE CHRISTMAS,3,2011-11-21 15:57:00,1.25,16712,United Kingdom,3.75,Monday,,First entry,2011-11-01
559418,22314,OFFICE MUG WARMER CHOC+BLUE,6,2011-07-08 11:36:00,2.95,12681,France,17.700000000000003,Friday,,First entry,2011-07-01
567126,23203,JUMBO BAG DOILEY PATTERNS,2,2011-09-16 13:53:00,2.08,17238,United Kingdom,4.16,Friday,0.0,,2011-09-01
556510,79321,CHILLI LIGHTS,4,2011-06-13 10:36:00,5.75,14911,EIRE,23.0,Monday,0.7999999999999998,,2011-06-01
548320,21452,TOADSTOOL MONEY BOX,20,2011-03-30 12:54:00,2.95,12709,Germany,59.0,Wednesday,,First entry,2011-03-01
539053,22095,LADS ONLY TISSUE BOX,1,2010-12-15 16:32:00,1.25,16725,United Kingdom,1.25,Wednesday,,First entry,2010-12-01
571498,22993,SET OF 4 PANTRY JELLY MOULDS,7,2011-10-17 15:06:00,1.25,17841,United Kingdom,8.75,Monday,0.0,,2011-10-01
537995,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2010-12-09 11:39:00,2.55,12712,Germany,15.299999999999999,Thursday,,First entry,2010-12-01
